image_uuid,growth_stage_code
dcd34ae8-3c8a-4cc9-9e12-12b876f71911,10
361009dd-87e6-4d05-9a11-68e06319f721,10
7a589301-69ac-4005-a7de-d886a32f096f,10
734064c0-697e-4bde-aedf-865049a155f4,10
78ecd99e-e40c-484e-9527-2e80233d2e79,10
69c92f63-7bf6-4d06-b6dc-8d9976d4cb16,10
2e4ba9ca-bee1-46a0-ae57-ec9c8da1384d,10
9a489abf-6723-4726-aa44-7a703e4ccee6,10
4a695a92-9b3b-47f2-ac2c-774225f345be,10
8b8ee9ba-2c7f-4c7a-ab55-a690d4bd49af,10
94575cf1-1f5d-46fa-a2cd-7f2c9f242ed6,10
609e38f2-b731-4d5a-9b18-ed4660642591,10
c3e49144-cdef-4b3a-8965-82f6be938ae4,10
989fae6f-50cb-4af1-bca3-c49d4eb40cbd,10
49555b2f-e4e9-41fd-8e3c-39fb0cded8c8,10
8ac5e635-2bfc-4ffa-a08b-a4061cb17b82,10
1cff458e-4cc1-42d3-86c1-66de67a4a82a,10
dabea8bc-17ff-484c-81c9-0c900c3734bd,10
3da3f6e0-c01d-4b91-bc39-16b214dc6618,10
5ac69c7d-2ec5-4d64-89a2-4fcdac4fbbf6,10
0db101a6-c91b-4046-988e-980789ca570f,10
5b06e16f-2c21-4cc4-b65f-fdaf15edf8e5,10
0fed7b8d-53c8-410b-90f4-3b9556d9d88d,10
55073c82-b854-4127-9575-2f518b8b242c,10
e58f91aa-f787-45ce-b87d-81ffdf2bc052,10
064cf420-89e7-4055-bcd2-2e27383fc967,10
bf3bcaf4-7a15-44fb-b6dd-208c74b1da35,10
f6493f7e-ae33-47cc-b836-f756fd35361e,10
1184201e-5ae1-4342-bebc-30eba64ed53b,10
c9b4b0fb-a4e6-4ea6-8644-2b0585f0284a,10
c7125e4b-f206-45f2-b4da-c060578ca5b0,10
5bf1c8b4-986b-44ed-8183-104116d5823e,10
a4c39c9e-ac0a-4f25-b146-cff81377d394,10
ef87ae16-18dd-4930-bdf8-5cc37bafda47,10
cce9afcd-fe95-4d88-a65a-bdbb7df9bca5,10
c5f3992b-5eff-48fb-9492-46d0a1a1b93d,10
cfc11afb-0692-4844-9bff-fda0e3217d0f,10
cf14eee1-e178-4193-be6e-f641cdeea857,10
3b432255-d6d8-4852-95ce-15c6c024b4a1,10
be0f7f76-92b9-470f-96fc-2e61038dd9ba,10
6743674a-e4d0-46cb-9f0d-b915584df3be,10
5efe7476-7ea3-4645-b977-387d5dbd5a7d,10
17331624-cedf-483a-807a-a10aa221ed8c,10
440ed76a-1b04-48c1-a296-cd3d904ce4c8,10
f433abde-60ce-4ce8-8afa-90708fec495c,10
c85e9862-5e6c-414d-9c48-77486fb280e3,10
a2d9a308-5c2b-4504-a77c-2e9817b6709a,10
0efea0dd-0044-4fd2-9918-2edc64fffe66,10
c5f6ffd6-0ba6-4ec5-b2ee-2c9ae168342c,10
cc6b50dc-a97e-48ff-abd8-4f02f854857a,10
2318594b-62a9-4083-9146-d42d2007330e,10
271281ce-f0f1-4ec2-a043-c1163c69b7c1,10
ce2e88ad-b783-45aa-84e5-da15a3baafa9,10
dfd224f2-4c55-4972-a497-7470db9d7983,10
53c8fa76-aa3c-4fab-9b90-ec3bbbe94b20,10
ff0bd54f-c43b-4eea-8ef0-0a32df95bf55,10
a7733c7d-751e-41ab-8cc6-5878d85ba226,10
dad31ea6-810f-4f0e-9c64-06647d7c6d38,10
9ffe96a0-fc04-4c76-9954-8348eeb064e9,10
fd75a351-a021-465a-ae64-11f7931de92d,10
68620fd5-cd46-4ec2-94c1-5543c27c024b,10
e510fd05-2750-4675-bc99-a4ab66165c6f,10
ce191535-2ca1-481d-ade8-f7d3799fe77c,10
b325bb0f-b74d-4297-ac41-f14236c77fe3,10
9941a184-30ec-4cbd-9be1-3ad7cb89d4f9,10
f9c3a860-a900-4026-a2b9-a9e10a539ad4,10
9496ed49-8b02-4290-8e60-9b99e57474e7,10
984e8536-4c7f-4b5f-8f53-a16e16bd58e6,10
12ddf701-49b9-4eac-b849-0a1699f64a15,10
13c148d6-9828-4b10-863d-6e034a479335,10
71f3f60c-9c28-476d-9970-78b9eec9273a,10
0a8a767c-3730-4176-b92a-d7ae92784912,10
44f46fc1-07b9-427e-b4c7-1dff2fbd3adf,10
e6b82dee-b891-40b1-84bd-a9a8af85ebff,10
adac6bcd-ddf1-4070-9e8f-a020e4b345a4,10
0c84725d-38b7-4796-88b8-a6b3c1f9911c,10
b514d7a0-979a-48bb-a3ff-0c0d2024d18e,10
f8a2fc9a-d47b-4f9a-a8cb-76f584764f6a,10
be90eb39-bf71-4796-a9b4-5efaa008ba6e,10
4918d2b5-15fa-4237-9d9f-dcd83fbc129f,10
9f8b56c4-2e0f-470f-8630-c65636234560,10
dce000ef-d8a0-4daf-9509-613c72b98483,10
91126370-7eee-4776-a97b-9413e9833649,10
02f529d8-9ba6-43db-a740-e63d5b20b0d3,10
dbdbb58a-f7de-449a-8c8c-0464b2bfb327,10
a34eaf46-761a-4f9b-a69d-703e15da82f0,10
24dbcdcf-33e5-4508-abd7-009f859d14df,10
4bd4f352-998c-42fc-9e25-2b8bc0da5c62,10
3ed086e9-9c7c-402c-ae05-97d007c693e4,10
bbaa24a4-7016-4437-909b-699fd214b53f,10
0b0ac41b-5a4e-4ae8-84b6-17fb91f97f43,10
8c8e59a7-5480-4650-85ad-125f32fb80a3,10
2901b843-745c-4dbd-a505-d5227e8f13a2,10
bc096f3f-1d2a-4ea3-b6d4-134e771f5d51,10
557e4d76-2236-4f64-9b60-78601cba9239,10
af1e4f18-f1d7-4151-8519-a664d2854418,10
c901c432-4200-4969-996a-00bbb60df0a0,10
9045a795-9209-499d-9576-bc410af00b03,10
5701cc69-8a3f-4a72-b6a5-ae0039002277,10
e2a46f2d-7bba-47fd-b233-9166ea603b2a,10
9cad9741-fcca-4ebb-8bcc-bb88451fa5f0,10
0784049e-78df-4ab7-b430-911c9fe10491,10
cf32f345-1894-478b-b721-b9d2d29fbc96,10
b12da355-57b7-4a13-bd2f-90ad57e6396a,10
5539239c-5715-46ea-8e5b-828341cb6ca2,10
a384587d-6db9-4f1a-ba45-215a09683c21,10
8ef34ed1-0c1f-4a47-a92e-cbd7bd6c008b,10
ed756e58-c7d7-4ad7-be0f-2fc79c766b69,10
3c7fc667-311c-472d-af78-22c9168a8dd7,10
a61d45ec-62dd-4a54-b21d-591164da0c97,10
eef2de7b-278f-42b8-970c-3a0cee003750,10
7400cfd0-b82e-42d7-b0ac-0d11af2c4bb0,10
5a7359bd-f768-4253-a759-11dd6352d71e,10
